DATE,OCCUPATION,JOB VACANCIES
2020-10,"Technical occupations in civil, mechanical and industrial engineering [223]",0
2020-10,Civil engineering technologists and technicians [2231],0
2020-10,Mechanical engineering technologists and technicians [2232],0
2020-10,Industrial engineering and manufacturing technologists and technicians [2233],0
2020-10,Construction estimators [2234],0
2020-10,Technical occupations in electronics and electrical engineering [224],0
2020-10,Electrical and electronics engineering technologists and technicians [2241],0
2020-10,Electronic service technicians (household and business equipment) [2242],0
2020-10,Industrial instrument technicians and mechanics [2243],0
2020-10,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors [2244]",0
2020-10,"Technical occupations in architecture, drafting, surveying, geomatics and meteorology [225]",0
2020-10,Architectural technologists and technicians [2251],0
2020-10,Industrial designers [2252],0
2020-10,Drafting technologists and technicians [2253],0
2020-10,Land survey technologists and technicians [2254],0
2020-10,Technical occupations in geomatics and meteorology [2255],0
2020-10,Other technical inspectors and regulatory officers [226],0
2020-10,Non-destructive testers and inspection technicians [2261],0
2020-10,Engineering inspectors and regulatory officers [2262],0
2020-10,Inspectors in public and environmental health and occupational health and safety [2263],5
2020-10,Construction inspectors [2264],0
2020-10,Transportation officers and controllers [227],0
2020-10,"Air pilots, flight engineers and flying instructors [2271]",0
2020-10,Air traffic controllers and related occupations [2272],0
2020-10,"Deck officers, water transport [2273]",0
2020-10,"Engineer officers, water transport [2274]",0
2020-10,Railway traffic controllers and marine traffic regulators [2275],0
2020-10,Technical occupations in computer and information systems [228],70
2020-10,Computer network technicians [2281],20
2020-10,User support technicians [2282],0
2020-10,Information systems testing technicians [2283],0
2020-10,Health occupations [3],1590
2020-10,Professional occupations in nursing [30],730
2020-10,Professional occupations in nursing [301],730
2020-10,Nursing co-ordinators and supervisors [3011],5
2020-10,Registered nurses and registered psychiatric nurses [3012],725
2020-10,Professional occupations in health (except nursing) [31],135
2020-10,"Physicians, dentists and veterinarians [311]",0
2020-10,Specialist physicians [3111],0
2020-10,General practitioners and family physicians [3112],0
2020-10,Dentists [3113],0
2020-10,Veterinarians [3114],0
2020-10,"Optometrists, chiropractors and other health diagnosing and treating professionals [312]",0
2020-10,Optometrists [3121],0
2020-10,Chiropractors [3122],0
2020-10,Allied primary health practitioners [3124],0
2020-10,Other professional occupations in health diagnosing and treating [3125],0
2020-10,"Pharmacists, dietitians and nutritionists [313]",35
2020-10,Pharmacists [3131],0
2020-10,Dietitians and nutritionists [3132],0
2020-10,Therapy and assessment professionals [314],0
2020-10,Audiologists and speech-language pathologists [3141],5
2020-10,Physiotherapists [3142],0
2020-10,Occupational therapists [3143],0
2020-10,Other professional occupations in therapy and assessment [3144],0
2020-10,Technical occupations in health [32],325
2020-10,Medical technologists and technicians (except dental health) [321],105
2020-10,Medical laboratory technologists [3211],10
2020-10,Medical laboratory technicians and pathologists' assistants [3212],0
2020-10,Animal health technologists and veterinary technicians [3213],0
2020-10,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists [3214]",0
2020-10,Medical radiation technologists [3215],15
2020-10,Medical sonographers [3216],0
2020-10,"Cardiology technologists and electrophysiological diagnostic technologists, not elsewhere classified (n.e.c.) [3217]",0
2020-10,Other medical technologists and technicians (except dental health) [3219],45
2020-10,Technical occupations in dental health care [322],0
2020-10,Denturists [3221],0
2020-10,Dental hygienists and dental therapists [3222],0
2020-10,"Dental technologists, technicians and laboratory assistants [3223]",0
2020-10,Other technical occupations in health care [323],200
2020-10,Opticians [3231],0
2020-10,Practitioners of natural healing [3232],0
2020-10,Licensed practical nurses [3233],170
2020-10,Paramedical occupations [3234],0
2020-10,Massage therapists [3236],0
2020-10,Other technical occupations in therapy and assessment [3237],0
2020-10,Assisting occupations in support of health services [34],400
2020-10,Assisting occupations in support of health services [341],400
2020-10,Dental assistants [3411],0
2020-10,"Nurse aides, orderlies and patient service associates [3413]",325
2020-10,Other assisting occupations in support of health services [3414],40
2020-10,"Occupations in education, law and social, community and government services [4]",840
2020-10,Professional occupations in education services [40],0
2020-10,University professors and post-secondary assistants [401],10
2020-10,University professors and lecturers [4011],10
2020-10,Post-secondary teaching and research assistants [4012],0
2020-10,College and other vocational instructors [402],0
2020-10,College and other vocational instructors [4021],0
2020-10,Secondary and elementary school teachers and educational counsellors [403],20
2020-10,Secondary school teachers [4031],0
2020-10,Elementary school and kindergarten teachers [4032],0
2020-10,Educational counsellors [4033],0
2020-10,"Professional occupations in law and social, community and government services [41]",80
2020-10,"Judges, lawyers and Quebec notaries [411]",0
2020-10,Judges [4111],0
2020-10,Lawyers and Quebec notaries [4112],0
2020-10,Social and community service professionals [415],0
2020-10,Psychologists [4151],25
2020-10,Social workers [4152],5
2020-10,"Family, marriage and other related counsellors [4153]",0
2020-10,Professional occupations in religion [4154],0
2020-10,Probation and parole officers and related occupations [4155],0
2020-10,Employment counsellors [4156],0
2020-10,"Policy and program researchers, consultants and officers [416]",40
2020-10,"Natural and applied science policy researchers, consultants and program officers [4161]",0
2020-10,Economists and economic policy researchers and analysts [4162],0
2020-10,Business development officers and marketing researchers and consultants [4163],0
2020-10,"Social policy researchers, consultants and program officers [4164]",0
2020-10,"Health policy researchers, consultants and program officers [4165]",0
2020-10,"Education policy researchers, consultants and program officers [4166]",0
2020-10,"Recreation, sports and fitness policy researchers, consultants and program officers [4167]",0
2020-10,Program officers unique to government [4168],0
2020-10,"Other professional occupations in social science, not elsewhere classified (n.e.c.) [4169]",0
2020-10,"Paraprofessional occupations in legal, social, community and education services [42]",480
2020-10,"Paraprofessional occupations in legal, social, community and education services [421]",480
2020-10,Paralegal and related occupations [4211],0
2020-10,Social and community service workers [4212],185
2020-10,Early childhood educators and assistants [4214],0
2020-10,Instructors of persons with disabilities [4215],0
2020-10,Other instructors [4216],0
2020-10,Other religious occupations [4217],0
2020-10,Occupations in front-line public protection services [43],0
2020-10,Occupations in front-line public protection services [431],0
2020-10,Police officers (except commissioned) [4311],0
2020-10,Firefighters [4312],0
2020-10,Non-commissioned ranks of the Canadian Armed Forces [4313],0
2020-10,"Care providers and educational, legal and public protection support occupations [44]",220
2020-10,Home care providers and educational support occupations [441],0
2020-10,Home child care providers [4411],0
2020-10,"Home support workers, housekeepers and related occupations [4412]",210
2020-10,Elementary and secondary school teacher assistants [4413],0
2020-10,Legal and public protection support occupations [442],0
2020-10,Sheriffs and bailiffs [4421],0
2020-10,Correctional service officers [4422],0
2020-10,"By-law enforcement and other regulatory officers, not elsewhere classified (n.e.c.) [4423]",0
2020-10,"Occupations in art, culture, recreation and sport [5]",0
2020-10,Professional occupations in art and culture [51],0
2020-10,"Librarians, archivists, conservators and curators [511]",0
2020-10,Librarians [5111],0
2020-10,Conservators and curators [5112],0
2020-10,Archivists [5113],0
2020-10,"Writing, translating and related communications professionals [512]",0
2020-10,Authors and writers [5121],0
2020-10,Editors [5122],0
2020-10,Journalists [5123],0
2020-10,"Translators, terminologists and interpreters [5125]",0
2020-10,Creative and performing artists [513],0
2020-10,"Producers, directors, choreographers and related occupations [5131]",0
2020-10,"Conductors, composers and arrangers [5132]",0
2020-10,Musicians and singers [5133],0
2020-10,Dancers [5134],0
2020-10,Actors and comedians [5135],0
2020-10,"Painters, sculptors and other visual artists [5136]",0
2020-10,"Technical occupations in art, culture, recreation and sport [52]",0
2020-10,"Technical occupations in libraries, public archives, museums and art galleries [521]",0
2020-10,Library and public archive technicians [5211],0
2020-10,Technical occupations related to museums and art galleries [5212],0
2020-10,"Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts [522]",0
2020-10,Photographers [5221],0
2020-10,Film and video camera operators [5222],0
2020-10,Graphic arts technicians [5223],0
2020-10,Broadcast technicians [5224],0
2020-10,Audio and video recording technicians [5225],0
2020-10,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts [5226]",0
2020-10,"Support occupations in motion pictures, broadcasting, photography and the performing arts [5227]",0
2020-10,"Announcers and other performers, not elsewhere classified (n.e.c.) [523]",0
2020-10,Announcers and other broadcasters [5231],0
2020-10,"Other performers, not elsewhere classified (n.e.c.) [5232]",0
2020-10,Creative designers and craftspersons [524],0
2020-10,Graphic designers and illustrators [5241],0
2020-10,Interior designers and interior decorators [5242],0
2020-10,"Theatre, fashion, exhibit and other creative designers [5243]",0
2020-10,Artisans and craftspersons [5244],0
2020-10,"Patternmakers - textile, leather and fur products [5245]",0
2020-10,"Athletes, coaches, referees and related occupations [525]",0
2020-10,Athletes [5251],0
2020-10,Coaches [5252],0
2020-10,Sports officials and referees [5253],0
2020-10,"Program leaders and instructors in recreation, sport and fitness [5254]",0
2020-10,Sales and service occupations [6],4670
2020-10,Retail sales supervisors and specialized sales occupations [62],115
2020-10,Retail sales supervisors [621],0
2020-10,Retail sales supervisors [6211],0
2020-10,Technical sales specialists in wholesale trade and retail and wholesale buyers [622],0
2020-10,Technical sales specialists - wholesale trade [6221],0
2020-10,Retail and wholesale buyers [6222],0
2020-10,"Insurance, real estate and financial sales occupations [623]",0
2020-10,Insurance agents and brokers [6231],15
2020-10,Real estate agents and salespersons [6232],0
2020-10,Financial sales representatives [6235],0
2020-10,Service supervisors and specialized service occupations [63],450
2020-10,Service supervisors [631],100
2020-10,Food service supervisors [6311],0
2020-10,Executive housekeepers [6312],0
2020-10,"Accommodation, travel, tourism and related services supervisors [6313]",0
2020-10,Customer and information services supervisors [6314],0
2020-10,Cleaning supervisors [6315],5
2020-10,Other services supervisors [6316],0
2020-10,Chefs and cooks [632],230
2020-10,Chefs [6321],0
2020-10,Cooks [6322],230
2020-10,Butchers and bakers [633],0
2020-10,"Butchers, meat cutters and fishmongers - retail and wholesale [6331]",0
2020-10,Bakers [6332],0
2020-10,Specialized occupations in personal and customer services [634],0
2020-10,Hairstylists and barbers [6341],0
2020-10,"Tailors, dressmakers, furriers and milliners [6342]",0
2020-10,Shoe repairers and shoemakers [6343],0
2020-10,"Jewellers, jewellery and watch repairers and related occupations [6344]",0
2020-10,Upholsterers [6345],0
2020-10,Funeral directors and embalmers [6346],0
2020-10,Sales representatives and salespersons - wholesale and retail trade [64],940
2020-10,Sales and account representatives - wholesale trade (non-technical) [641],0
2020-10,Sales and account representatives - wholesale trade (non-technical) [6411],0
2020-10,Retail salespersons [642],825
2020-10,Retail salespersons [6421],825
2020-10,Service representatives and other customer and personal services occupations [65],1210
2020-10,Occupations in food and beverage service [651],200
2020-10,Maîtres d'hôtel and hosts/hostesses [6511],0
2020-10,Bartenders [6512],0
2020-10,Food and beverage servers [6513],130
2020-10,Occupations in travel and accommodation [652],0
2020-10,Travel counsellors [6521],0
2020-10,Pursers and flight attendants [6522],0
2020-10,Airline ticket and service agents [6523],0
2020-10,"Ground and water transport ticket agents, cargo service representatives and related clerks [6524]",0
2020-10,Hotel front desk clerks [6525],0
2020-10,Tourism and amusement services occupations [653],0
2020-10,Tour and travel guides [6531],0
2020-10,Outdoor sport and recreational guides [6532],0
2020-10,Casino occupations [6533],0
2020-10,Security guards and related security service occupations [654],0
2020-10,Security guards and related security service occupations [6541],0
2020-10,Customer and information services representatives [655],935
2020-10,Customer services representatives - financial institutions [6551],115
2020-10,Other customer and information services representatives [6552],0
2020-10,Other occupations in personal service [656],0
2020-10,"Image, social and other personal consultants [6561]",0
2020-10,"Estheticians, electrologists and related occupations [6562]",0
2020-10,Pet groomers and animal care workers [6563],0
2020-10,Other personal service occupations [6564],0
2020-10,Sales support occupations [66],990
2020-10,Cashiers [661],240
2020-10,Cashiers [6611],240
2020-10,Other sales support and related occupations [662],750
2020-10,Service station attendants [6621],0
2020-10,"Store shelf stockers, clerks and order fillers [6622]",750
2020-10,Other sales related occupations [6623],0
2020-10,"Service support and other service occupations, not elsewhere classified (n.e.c.) [67]",965
2020-10,"Food counter attendants, kitchen helpers and related support occupations [671]",690
2020-10,"Food counter attendants, kitchen helpers and related support occupations [6711]",690
2020-10,"Support occupations in accommodation, travel and amusement services [672]",30
2020-10,"Support occupations in accommodation, travel and facilities set-up services [6721]",0
2020-10,"Operators and attendants in amusement, recreation and sport [6722]",30
2020-10,Cleaners [673],215
2020-10,Light duty cleaners [6731],150
2020-10,Specialized cleaners [6732],0
2020-10,"Janitors, caretakers and building superintendents [6733]",0
2020-10,"Other service support and related occupations, not elsewhere classified (n.e.c.) [674]",0
2020-10,"Dry cleaning, laundry and related occupations [6741]",0
2020-10,"Other service support occupations, not elsewhere classified (n.e.c.) [6742]",0
2020-10,"Trades, transport and equipment operators and related occupations [7]",1630
2020-10,"Industrial, electrical and construction trades [72]",375
2020-10,"Contractors and supervisors, industrial, electrical and construction trades and related workers [720]",0
2020-10,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations [7201]",0
2020-10,"Contractors and supervisors, electrical trades and telecommunications occupations [7202]",0
2020-10,"Contractors and supervisors, pipefitting trades [7203]",0
2020-10,"Contractors and supervisors, carpentry trades [7204]",0
2020-10,"Contractors and supervisors, other construction trades, installers, repairers and servicers [7205]",0
2020-10,"Machining, metal forming, shaping and erecting trades [723]",0
2020-10,Machinists and machining and tooling inspectors [7231],0
2020-10,Tool and die makers [7232],0
2020-10,Sheet metal workers [7233],0
2020-10,Boilermakers [7234],0
2020-10,Structural metal and platework fabricators and fitters [7235],0
2020-10,Ironworkers [7236],0
2020-10,Welders and related machine operators [7237],0
2020-10,Electrical trades and electrical power line and telecommunications workers [724],25
2020-10,Electricians (except industrial and power system) [7241],0
2020-10,Industrial electricians [7242],0
2020-10,Power system electricians [7243],0
2020-10,Electrical power line and cable workers [7244],0
2020-10,Telecommunications line and cable workers [7245],0
2020-10,Telecommunications installation and repair workers [7246],0
2020-10,Cable television service and maintenance technicians [7247],0
2020-10,"Plumbers, pipefitters and gas fitters [725]",0
2020-10,Plumbers [7251],0
2020-10,"Steamfitters, pipefitters and sprinkler system installers [7252]",0
2020-10,Gas fitters [7253],0
2020-10,Carpenters and cabinetmakers [727],0
2020-10,Carpenters [7271],0
2020-10,Cabinetmakers [7272],0
2020-10,Masonry and plastering trades [728],0
2020-10,Bricklayers [7281],0
2020-10,Concrete finishers [7282],0
2020-10,Tilesetters [7283],0
2020-10,"Plasterers, drywall installers and finishers and lathers [7284]",0
2020-10,Other construction trades [729],0
2020-10,Roofers and shinglers [7291],0
2020-10,Glaziers [7292],0
2020-10,Insulators [7293],0
2020-10,Painters and decorators (except interior decorators) [7294],0
2020-10,Floor covering installers [7295],0
2020-10,Maintenance and equipment operation trades [73],150
2020-10,"Contractors and supervisors, maintenance trades and heavy equipment and transport operators [730]",0
2020-10,"Contractors and supervisors, mechanic trades [7301]",0
2020-10,"Contractors and supervisors, heavy equipment operator crews [7302]",0
2020-10,"Supervisors, printing and related occupations [7303]",0
2020-10,"Supervisors, railway transport operations [7304]",0
2020-10,"Supervisors, motor transport and other ground transit operators [7305]",0
2020-10,Machinery and transportation equipment mechanics (except motor vehicles) [731],55
2020-10,Construction millwrights and industrial mechanics [7311],25
2020-10,Heavy-duty equipment mechanics [7312],0
2020-10,"Heating, refrigeration and air conditioning mechanics [7313]",0
2020-10,Railway carmen/women [7314],0
2020-10,Aircraft mechanics and aircraft inspectors [7315],0
2020-10,Machine fitters [7316],0
2020-10,Elevator constructors and mechanics [7318],0
2020-10,Automotive service technicians [732],0
2020-10,"Automotive service technicians, truck and bus mechanics and mechanical repairers [7321]",0
2020-10,Motor vehicle body repairers [7322],0
2020-10,Other mechanics and related repairers [733],0
2020-10,Oil and solid fuel heating mechanics [7331],0
2020-10,Appliance servicers and repairers [7332],0
2020-10,Electrical mechanics [7333],0
2020-10,"Motorcycle, all-terrain vehicle and other related mechanics [7334]",0
2020-10,Other small engine and small equipment repairers [7335],0
2020-10,Train crew operating occupations [736],0
2020-10,Railway and yard locomotive engineers [7361],0
2020-10,Railway conductors and brakemen/women [7362],0
2020-10,"Crane operators, drillers and blasters [737]",0
2020-10,Crane operators [7371],0
2020-10,"Drillers and blasters - surface mining, quarrying and construction [7372]",0
2020-10,Water well drillers [7373],0
2020-10,"Printing press operators and other trades and related occupations, not elsewhere classified (n.e.c.) [738]",0
2020-10,Printing press operators [7381],0
2020-10,"Other trades and related occupations, not elsewhere classified (n.e.c.) [7384]",0
2020-10,"Other installers, repairers and servicers and material handlers [74]",0
2020-10,"Other installers, repairers and servicers [744]",0
2020-10,Residential and commercial installers and servicers [7441],0
2020-10,Waterworks and gas maintenance workers [7442],0
2020-10,Pest controllers and fumigators [7444],0
2020-10,Other repairers and servicers [7445],0
2020-10,Longshore workers and material handlers [745],0
2020-10,Longshore workers [7451],0
2020-10,Material handlers [7452],0
2020-10,Transport and heavy equipment operation and related maintenance occupations [75],655
2020-10,Motor vehicle and transit drivers [751],440
2020-10,Transport truck drivers [7511],380
2020-10,"Bus drivers, subway operators and other transit operators [7512]",0
2020-10,Taxi and limousine drivers and chauffeurs [7513],0
2020-10,Delivery and courier service drivers [7514],0
2020-10,Heavy equipment operators [752],0
2020-10,Heavy equipment operators (except crane) [7521],0
2020-10,Public works maintenance equipment operators and related workers [7522],0
2020-10,Other transport equipment operators and related maintenance workers [753],0
2020-10,Railway yard and track maintenance workers [7531],0
2020-10,Water transport deck and engine room crew [7532],0
2020-10,Boat and cable ferry operators and related occupations [7533],0
2020-10,Air transport ramp attendants [7534],0
2020-10,Other automotive mechanical installers and servicers [7535],0
2020-10,"Trades helpers, construction labourers and related occupations [76]",0
2020-10,Trades helpers and labourers [761],305
2020-10,Construction trades helpers and labourers [7611],280
2020-10,Other trades helpers and labourers [7612],0
2020-10,"Public works and other labourers, not elsewhere classified (n.e.c.) [762]",0
2020-10,Public works and maintenance labourers [7621],0
2020-10,Railway and motor transport labourers [7622],0
2020-10,"Natural resources, agriculture and related production occupations [8]",0
2020-10,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",0
2020-10,"Supervisors, logging and forestry [821]",0
2020-10,"Supervisors, logging and forestry [8211]",0
2020-10,"Contractors and supervisors, mining, oil and gas [822]",0
2020-10,"Supervisors, mining and quarrying [8221]",0
2020-10,"Contractors and supervisors, oil and gas drilling and services [8222]",0
2020-10,"Underground miners, oil and gas drillers and related occupations [823]",0
2020-10,Underground production and development miners [8231],0
2020-10,"Oil and gas well drillers, servicers, testers and related workers [8232]",0
2020-10,Logging machinery operators [824],0
2020-10,Logging machinery operators [8241],0
2020-10,"Contractors and supervisors, agriculture, horticulture and related operations and services [825]",0
2020-10,"Agricultural service contractors, farm supervisors and specialized livestock workers [8252]",0
2020-10,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services [8255]",0
2020-10,Fishing vessel masters and fishermen/women [826],0
2020-10,Fishing masters and officers [8261],0
2020-10,Fishermen/women [8262],0
2020-10,"Workers in natural resources, agriculture and related production [84]",0
2020-10,Mine service workers and operators in oil and gas drilling [841],0
2020-10,Underground mine service and support workers [8411],0
2020-10,Oil and gas well drilling and related workers and services operators [8412],0
2020-10,Logging and forestry workers [842],0
2020-10,Chain saw and skidder operators [8421],0
2020-10,Silviculture and forestry workers [8422],0
2020-10,Agriculture and horticulture workers [843],0
2020-10,General farm workers [8431],0
2020-10,Nursery and greenhouse workers [8432],0
2020-10,Other workers in fishing and trapping and hunting occupations [844],0
2020-10,Fishing vessel deckhands [8441],0
2020-10,Trappers and hunters [8442],0
2020-10,"Harvesting, landscaping and natural resources labourers [86]",0
2020-10,"Harvesting, landscaping and natural resources labourers [861]",0
2020-10,Harvesting labourers [8611],0
2020-10,Landscaping and grounds maintenance labourers [8612],0
2020-10,Aquaculture and marine harvest labourers [8613],0
2020-10,Mine labourers [8614],0
2020-10,"Oil and gas drilling, servicing and related labourers [8615]",0
2020-10,Logging and forestry labourers [8616],0
2020-10,Occupations in manufacturing and utilities [9],1785
2020-10,"Processing, manufacturing and utilities supervisors and central control operators [92]",30
2020-10,"Supervisors, processing and manufacturing occupations [921]",20
2020-10,"Supervisors, mineral and metal processing [9211]",0
2020-10,"Supervisors, petroleum, gas and chemical processing and utilities [9212]",0
2020-10,"Supervisors, food and beverage processing [9213]",0
2020-10,"Supervisors, plastic and rubber products manufacturing [9214]",0
2020-10,"Supervisors, forest products processing [9215]",5
2020-10,"Supervisors, textile, fabric, fur and leather products processing and manufacturing [9217]",0
2020-10,"Supervisors, assembly and fabrication [922]",0
2020-10,"Supervisors, motor vehicle assembling [9221]",0
2020-10,"Supervisors, electronics manufacturing [9222]",0
2020-10,"Supervisors, electrical products manufacturing [9223]",0
2020-10,"Supervisors, furniture and fixtures manufacturing [9224]",0
2020-10,"Supervisors, other mechanical and metal products manufacturing [9226]",0
2020-10,"Supervisors, other products manufacturing and assembly [9227]",0
2020-10,Central control and process operators in processing and manufacturing [923],0
2020-10,"Central control and process operators, mineral and metal processing [9231]",0
2020-10,"Central control and process operators, petroleum, gas and chemical processing [9232]",0
2020-10,"Pulping, papermaking and coating control operators [9235]",0
2020-10,Utilities equipment operators and controllers [924],0
2020-10,Power engineers and power systems operators [9241],0
2020-10,Water and waste treatment plant operators [9243],0
2020-10,Processing and manufacturing machine operators and related production workers [94],600
2020-10,Machine operators and related workers in mineral and metal products processing and manufacturing [941],0
2020-10,"Machine operators, mineral and metal processing [9411]",0
2020-10,Foundry workers [9412],0
2020-10,Glass forming and finishing machine operators and glass cutters [9413],0
2020-10,"Concrete, clay and stone forming operators [9414]",0
2020-10,"Inspectors and testers, mineral and metal processing [9415]",0
2020-10,Metalworking and forging machine operators [9416],0
2020-10,Machining tool operators [9417],0
2020-10,Other metal products machine operators [9418],0
2020-10,"Machine operators and related workers in chemical, plastic and rubber processing [942]",60
2020-10,Chemical plant machine operators [9421],0
2020-10,Plastics processing machine operators [9422],0
2020-10,Rubber processing machine operators and related workers [9423],0
2020-10,Machine operators and related workers in pulp and paper production and wood processing and manufacturing [943],0
2020-10,Sawmill machine operators [9431],0
2020-10,Pulp mill machine operators [9432],0
2020-10,Papermaking and finishing machine operators [9433],0
2020-10,Other wood processing machine operators [9434],0
2020-10,Paper converting machine operators [9435],0
2020-10,Lumber graders and other wood processing inspectors and graders [9436],0
2020-10,Woodworking machine operators [9437],0
2020-10,"Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing [944]",0
2020-10,"Textile fibre and yarn, hide and pelt processing machine operators and workers [9441]",0
2020-10,"Weavers, knitters and other fabric making occupations [9442]",0
2020-10,"Fabric, fur and leather cutters [9445]",0
2020-10,Industrial sewing machine operators [9446],0
2020-10,"Inspectors and graders, textile, fabric, fur and leather products manufacturing [9447]",0
2020-10,"Machine operators and related workers in food, beverage and associated products processing [946]",400
2020-10,"Process control and machine operators, food and beverage processing [9461]",0
2020-10,"Industrial butchers and meat cutters, poultry preparers and related workers [9462]",0
2020-10,Fish and seafood plant workers [9463],285
2020-10,"Testers and graders, food and beverage processing [9465]",0
2020-10,Printing equipment operators and related occupations [947],0
2020-10,Plateless printing equipment operators [9471],0
2020-10,"Camera, platemaking and other prepress occupations [9472]",0
2020-10,Binding and finishing machine operators [9473],0
2020-10,Photographic and film processors [9474],0
2020-10,Assemblers in manufacturing [95],145
2020-10,"Mechanical, electrical and electronics assemblers [952]",0
2020-10,Aircraft assemblers and aircraft assembly inspectors [9521],0
2020-10,"Motor vehicle assemblers, inspectors and testers [9522]",0
2020-10,"Electronics assemblers, fabricators, inspectors and testers [9523]",0
2020-10,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing [9524]",0
2020-10,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers [9525]",0
2020-10,Mechanical assemblers and inspectors [9526],0
2020-10,"Machine operators and inspectors, electrical apparatus manufacturing [9527]",0
2020-10,Other assembly and related occupations [953],115
2020-10,Boat assemblers and inspectors [9531],0
2020-10,Furniture and fixture assemblers and inspectors [9532],0
2020-10,Other wood products assemblers and inspectors [9533],0
2020-10,Furniture finishers and refinishers [9534],0
2020-10,"Plastic products assemblers, finishers and inspectors [9535]",0
2020-10,"Industrial painters, coaters and metal finishing process operators [9536]",0
2020-10,"Other products assemblers, finishers and inspectors [9537]",0
2020-10,"Labourers in processing, manufacturing and utilities [96]",1010
2020-10,"Labourers in processing, manufacturing and utilities [961]",1010
2020-10,Labourers in mineral and metal processing [9611],0
2020-10,Labourers in metal fabrication [9612],0
2020-10,Labourers in chemical products processing and utilities [9613],0
2020-10,"Labourers in wood, pulp and paper processing [9614]",180
2020-10,Labourers in rubber and plastic products manufacturing [9615],0
2020-10,Labourers in textile processing [9616],0
2020-10,Labourers in food and beverage processing [9617],160
2020-10,Labourers in fish and seafood processing [9618],0
2020-10,"Other labourers in processing, manufacturing and utilities [9619]",0
2020-10,Unclassified occupations,0
2020-10,"Total, all occupations",148460
2020-10,Management occupations [0],5480
2020-10,Senior management occupations [00],165
2020-10,Legislators and senior management [001],165
2020-10,Legislators [0011],0
2020-10,Senior government managers and officials [0012],0
2020-10,"Senior managers - financial, communications and other business services [0013]",0
2020-10,"Senior managers - health, education, social and community services and membership organizations [0014]",0
2020-10,"Senior managers - trade, broadcasting and other services, not elsewhere classified (n.e.c.) [0015]",0
2020-10,"Senior managers - construction, transportation, production and utilities [0016]",0
2020-10,Specialized middle management occupations [01-05],2250
2020-10,Administrative services managers [011],580
2020-10,Financial managers [0111],325
2020-10,Human resources managers [0112],150
2020-10,Purchasing managers [0113],30
2020-10,Other administrative services managers [0114],80
2020-10,Managers in financial and business services [012],540
2020-10,"Insurance, real estate and financial brokerage managers [0121]",175
2020-10,"Banking, credit and other investment managers [0122]",135
2020-10,"Advertising, marketing and public relations managers [0124]",200
2020-10,Other business services managers [0125],30
2020-10,Managers in communication (except broadcasting) [013],0
2020-10,Telecommunication carriers managers [0131],15
2020-10,Postal and courier services managers [0132],0
2020-10,"Managers in engineering, architecture, science and information systems [021]",600
2020-10,Engineering managers [0211],130
2020-10,Architecture and science managers [0212],50
2020-10,Computer and information systems managers [0213],420
2020-10,Managers in health care [031],65
2020-10,Managers in health care [0311],65
2020-10,Managers in public administration [041],65
2020-10,Government managers - health and social policy development and program administration [0411],15
2020-10,"Government managers - economic analysis, policy development and program administration [0412]",0
2020-10,Government managers - education policy development and program administration [0413],0
2020-10,Other managers in public administration [0414],45
2020-10,Managers in education and social and community services [042],305
2020-10,Administrators - post-secondary education and vocational training [0421],35
2020-10,School principals and administrators of elementary and secondary education [0422],15
2020-10,"Managers in social, community and correctional services [0423]",255
2020-10,Managers in public protection services [043],0
2020-10,Commissioned police officers [0431],0
2020-10,Fire chiefs and senior firefighting officers [0432],0
2020-10,Commissioned officers of the Canadian Armed Forces [0433],0
2020-10,"Managers in art, culture, recreation and sport [051]",55
2020-10,"Library, archive, museum and art gallery managers [0511]",30
2020-10,"Managers - publishing, motion pictures, broadcasting and performing arts [0512]",0
2020-10,"Recreation, sports and fitness program and service directors [0513]",0
2020-10,Middle management occupations in retail and wholesale trade and customer services [06],2285
2020-10,Corporate sales managers [060],275
2020-10,Corporate sales managers [0601],275
2020-10,Retail and wholesale trade managers [062],1540
2020-10,Retail and wholesale trade managers [0621],1540
2020-10,Managers in food service and accommodation [063],450
2020-10,Restaurant and food service managers [0631],445
2020-10,Accommodation service managers [0632],0
2020-10,"Managers in customer and personal services, not elsewhere classified (n.e.c.) [065]",0
2020-10,"Managers in customer and personal services, not elsewhere classified (n.e.c.) [0651]",0
2020-10,"Middle management occupations in trades, transportation, production and utilities [07-09]",780
2020-10,Managers in construction and facility operation and maintenance [071],420
2020-10,Construction managers [0711],300
2020-10,Home building and renovation managers [0712],0
2020-10,Facility operation and maintenance managers [0714],120
2020-10,Managers in transportation [073],55
2020-10,Managers in transportation [0731],55
2020-10,Managers in natural resources production and fishing [081],10
2020-10,Managers in natural resources production and fishing [0811],10
2020-10,"Managers in agriculture, horticulture and aquaculture [082]",15
2020-10,Managers in agriculture [0821],0
2020-10,Managers in horticulture [0822],0
