DATE,OCCUPATION,JOB VACANCIES
2019-01,Service supervisors and specialized service occupations [63],23390
2019-01,Service supervisors [631],5835
2019-01,Food service supervisors [6311],3925
2019-01,Executive housekeepers [6312],0
2019-01,"Accommodation, travel, tourism and related services supervisors [6313]",305
2019-01,Customer and information services supervisors [6314],480
2019-01,Cleaning supervisors [6315],385
2019-01,Other services supervisors [6316],705
2019-01,Chefs and cooks [632],12830
2019-01,Chefs [6321],1440
2019-01,Cooks [6322],11390
2019-01,Butchers and bakers [633],1030
2019-01,"Butchers, meat cutters and fishmongers - retail and wholesale [6331]",350
2019-01,Bakers [6332],675
2019-01,Specialized occupations in personal and customer services [634],3695
2019-01,Hairstylists and barbers [6341],3110
2019-01,"Tailors, dressmakers, furriers and milliners [6342]",370
2019-01,Shoe repairers and shoemakers [6343],0
2019-01,"Jewellers, jewellery and watch repairers and related occupations [6344]",0
2019-01,Upholsterers [6345],0
2019-01,Funeral directors and embalmers [6346],0
2019-01,Sales representatives and salespersons - wholesale and retail trade [64],24380
2019-01,Sales and account representatives - wholesale trade (non-technical) [641],5610
2019-01,Sales and account representatives - wholesale trade (non-technical) [6411],5610
2019-01,Retail salespersons [642],18775
2019-01,Retail salespersons [6421],18775
2019-01,Service representatives and other customer and personal services occupations [65],35180
2019-01,Occupations in food and beverage service [651],10405
2019-01,Maîtres d'hôtel and hosts/hostesses [6511],1095
2019-01,Bartenders [6512],1065
2019-01,Food and beverage servers [6513],8250
2019-01,Occupations in travel and accommodation [652],1865
2019-01,Travel counsellors [6521],500
2019-01,Pursers and flight attendants [6522],0
2019-01,Airline ticket and service agents [6523],160
2019-01,"Ground and water transport ticket agents, cargo service representatives and related clerks [6524]",70
2019-01,Hotel front desk clerks [6525],985
2019-01,Tourism and amusement services occupations [653],735
2019-01,Tour and travel guides [6531],270
2019-01,Outdoor sport and recreational guides [6532],135
2019-01,Casino occupations [6533],330
2019-01,Security guards and related security service occupations [654],4770
2019-01,Security guards and related security service occupations [6541],4770
2019-01,Customer and information services representatives [655],15115
2019-01,Customer services representatives - financial institutions [6551],2255
2019-01,Other customer and information services representatives [6552],12860
2019-01,Other occupations in personal service [656],2280
2019-01,"Image, social and other personal consultants [6561]",0
2019-01,"Estheticians, electrologists and related occupations [6562]",1750
2019-01,Pet groomers and animal care workers [6563],525
2019-01,Other personal service occupations [6564],0
2019-01,Sales support occupations [66],14560
2019-01,Cashiers [661],5080
2019-01,Cashiers [6611],5080
2019-01,Other sales support and related occupations [662],9480
2019-01,Service station attendants [6621],410
2019-01,"Store shelf stockers, clerks and order fillers [6622]",8580
2019-01,Other sales related occupations [6623],495
2019-01,"Service support and other service occupations, not elsewhere classified (n.e.c.) [67]",47565
2019-01,"Food counter attendants, kitchen helpers and related support occupations [671]",28160
2019-01,"Food counter attendants, kitchen helpers and related support occupations [6711]",28160
2019-01,"Support occupations in accommodation, travel and amusement services [672]",5525
2019-01,"Support occupations in accommodation, travel and facilities set-up services [6721]",280
2019-01,"Operators and attendants in amusement, recreation and sport [6722]",5245
2019-01,Cleaners [673],12610
2019-01,Light duty cleaners [6731],7550
